Pais,Anho,Npatente,max,media,dif
DE,1975,3911082,1,1.0,0.0
DE,1975,3874129,1,1.0,0.0
DE,1975,3908345,1,1.0,0.0
DE,1975,3880690,1,1.0,0.0
DE,1975,3891904,1,1.0,0.0
DE,1975,3882912,1,1.0,0.0
DE,1975,3916825,1,1.0,0.0
DE,1976,3973588,1,1.0,0.0
DE,1976,3992891,1,1.0,0.0
DE,1976,3990229,1,1.0,0.0
DE,1976,3933886,1,1.0,0.0
DE,1976,3984146,1,1.0,0.0
DE,1976,3954945,1,1.0,0.0
DE,1976,3979798,1,1.0,0.0
DE,1976,3969196,1,1.0,0.0
DE,1976,3967907,1,1.0,0.0
DE,1976,3986357,1,1.0,0.0
DE,1976,3993822,1,1.0,0.0
DE,1976,3997079,1,1.0,0.0
DE,1976,3974440,1,1.0,0.0
DE,1976,3987602,1,1.0,0.0
DE,1977,4010104,1,1.0,0.0
DE,1977,4056142,1,1.0,0.0
DE,1977,4007529,1,1.0,0.0
DE,1977,4063952,1,1.0,0.0
DE,1977,4059661,1,1.0,0.0
DE,1977,4062043,1,1.0,0.0
DE,1977,4023743,1,1.0,0.0
DE,1977,4039280,1,1.0,0.0
DE,1977,4006031,1,1.0,0.0
DE,1977,4049945,1,1.0,0.0
DE,1977,4010895,1,1.0,0.0
DE,1977,4005714,1,1.0,0.0
DE,1977,4054597,1,1.0,0.0
DE,1978,4076262,1,1.0,0.0
DE,1978,4119303,1,1.0,0.0
DE,1978,4080093,1,1.0,0.0
DE,1978,4120347,1,1.0,0.0
DE,1978,4104194,1,1.0,0.0
DE,1978,4084144,1,1.0,0.0
DE,1978,4076829,1,1.0,0.0
DE,1978,4087315,1,1.0,0.0
DE,1978,4111158,1,1.0,0.0
DE,1978,4105567,1,1.0,0.0
DE,1978,4076551,1,1.0,0.0
DE,1978,4092650,1,1.0,0.0
DE,1978,4088597,1,1.0,0.0
DE,1978,4082488,1,1.0,0.0
DE,1978,4120373,1,1.0,0.0
DE,1978,4079418,1,1.0,0.0
DE,1978,4094010,1,1.0,0.0
DE,1978,4089206,1,1.0,0.0
DE,1978,4118616,1,1.0,0.0
DE,1979,4152499,1,1.0,0.0
DE,1979,4177342,1,1.0,0.0
DE,1979,4138375,1,1.0,0.0
DE,1979,4173647,1,1.0,0.0
DE,1979,4168562,1,1.0,0.0
DE,1979,4153663,1,1.0,0.0
DE,1979,4169476,1,1.0,0.0
DE,1980,4238952,1,1.0,0.0
DE,1980,4233556,1,1.0,0.0
DE,1980,4208648,1,1.0,0.0
DE,1980,4189542,1,1.0,0.0
DE,1980,4229291,1,1.0,0.0
